WorkerId,Input.text1,Input.text2,Input.text3,Input.text4,Input.text5,Answer.text1,Answer.text2,Answer.text3,Answer.text4,Answer.text5
AMT_RGT,"a week after the little girl 's dog died , she had a new puppy . </s> feeling sorry for her , i made her a gift . </s> i painted a cage pink and decorated it with stuffed animals . </s> i placed a sign that said princess on the cage . </s> i gave it to the overjoyed little girl . </s> 
","tony lived in the mountains . </s> he spent a lot of time in the hot springs . </s> it was so hot he could n't relax very well . </s> one day , he loved feeling the warm water and amazing views . </s> tony felt so blessed to have such an amazing place to live . </s> 
","kia woke with a cold one morning . </s> her mom kept her home from school . </s> kia was anxious , missing class and feeling awful . </s> she sat on the couch , sipping hot cocoa and watching television . </s> she felt better after her cold at home . </s> 
","jane was bleaching her hair . </s> she lost track of time and left the bleach in too long . </s> after a while she noticed her scalp was burning . </s> jane tried to quickly wash it out . </s> unfortunately it was too late and her hair was destroyed . </s> 
","tiana and brandon lived together for two years . </s> they fought a lot and it disrupted their neighbors . </s> they had so many fights and filed complaints with the landlord . </s> the landlord tried to evict tiana after 6 months . </s> tiana was tired of being evicted tiana was brandon 's mom . </s> 
",5,3,4,5,1
AMT_TMT,"a week after the little girl 's dog died , she had a new puppy . </s> feeling sorry for her , i made her a gift . </s> i painted a cage pink and decorated it with stuffed animals . </s> i placed a sign that said princess on the cage . </s> i gave it to the overjoyed little girl . </s> 
","tony lived in the mountains . </s> he spent a lot of time in the hot springs . </s> it was so hot he could n't relax very well . </s> one day , he loved feeling the warm water and amazing views . </s> tony felt so blessed to have such an amazing place to live . </s> 
","kia woke with a cold one morning . </s> her mom kept her home from school . </s> kia was anxious , missing class and feeling awful . </s> she sat on the couch , sipping hot cocoa and watching television . </s> she felt better after her cold at home . </s> 
","jane was bleaching her hair . </s> she lost track of time and left the bleach in too long . </s> after a while she noticed her scalp was burning . </s> jane tried to quickly wash it out . </s> unfortunately it was too late and her hair was destroyed . </s> 
","tiana and brandon lived together for two years . </s> they fought a lot and it disrupted their neighbors . </s> they had so many fights and filed complaints with the landlord . </s> the landlord tried to evict tiana after 6 months . </s> tiana was tired of being evicted tiana was brandon 's mom . </s> 
",5,5,3,5,4
AMT_Q42,"a week after the little girl 's dog died , she had a new puppy . </s> feeling sorry for her , i made her a gift . </s> i painted a cage pink and decorated it with stuffed animals . </s> i placed a sign that said princess on the cage . </s> i gave it to the overjoyed little girl . </s> 
","tony lived in the mountains . </s> he spent a lot of time in the hot springs . </s> it was so hot he could n't relax very well . </s> one day , he loved feeling the warm water and amazing views . </s> tony felt so blessed to have such an amazing place to live . </s> 
","kia woke with a cold one morning . </s> her mom kept her home from school . </s> kia was anxious , missing class and feeling awful . </s> she sat on the couch , sipping hot cocoa and watching television . </s> she felt better after her cold at home . </s> 
","jane was bleaching her hair . </s> she lost track of time and left the bleach in too long . </s> after a while she noticed her scalp was burning . </s> jane tried to quickly wash it out . </s> unfortunately it was too late and her hair was destroyed . </s> 
","tiana and brandon lived together for two years . </s> they fought a lot and it disrupted their neighbors . </s> they had so many fights and filed complaints with the landlord . </s> the landlord tried to evict tiana after 6 months . </s> tiana was tired of being evicted tiana was brandon 's mom . </s> 
",3,5,5,5,2
AMT_K0N,"a week after the little girl 's dog died , she had a new puppy . </s> feeling sorry for her , i made her a gift . </s> i painted a cage pink and decorated it with stuffed animals . </s> i placed a sign that said princess on the cage . </s> i gave it to the overjoyed little girl . </s> 
","tony lived in the mountains . </s> he spent a lot of time in the hot springs . </s> it was so hot he could n't relax very well . </s> one day , he loved feeling the warm water and amazing views . </s> tony felt so blessed to have such an amazing place to live . </s> 
","kia woke with a cold one morning . </s> her mom kept her home from school . </s> kia was anxious , missing class and feeling awful . </s> she sat on the couch , sipping hot cocoa and watching television . </s> she felt better after her cold at home . </s> 
","jane was bleaching her hair . </s> she lost track of time and left the bleach in too long . </s> after a while she noticed her scalp was burning . </s> jane tried to quickly wash it out . </s> unfortunately it was too late and her hair was destroyed . </s> 
","tiana and brandon lived together for two years . </s> they fought a lot and it disrupted their neighbors . </s> they had so many fights and filed complaints with the landlord . </s> the landlord tried to evict tiana after 6 months . </s> tiana was tired of being evicted tiana was brandon 's mom . </s> 
",5,2,3,5,2
AMT_MIL,"a week after the little girl 's dog died , she had a new puppy . </s> feeling sorry for her , i made her a gift . </s> i painted a cage pink and decorated it with stuffed animals . </s> i placed a sign that said princess on the cage . </s> i gave it to the overjoyed little girl . </s> 
","tony lived in the mountains . </s> he spent a lot of time in the hot springs . </s> it was so hot he could n't relax very well . </s> one day , he loved feeling the warm water and amazing views . </s> tony felt so blessed to have such an amazing place to live . </s> 
","kia woke with a cold one morning . </s> her mom kept her home from school . </s> kia was anxious , missing class and feeling awful . </s> she sat on the couch , sipping hot cocoa and watching television . </s> she felt better after her cold at home . </s> 
","jane was bleaching her hair . </s> she lost track of time and left the bleach in too long . </s> after a while she noticed her scalp was burning . </s> jane tried to quickly wash it out . </s> unfortunately it was too late and her hair was destroyed . </s> 
","tiana and brandon lived together for two years . </s> they fought a lot and it disrupted their neighbors . </s> they had so many fights and filed complaints with the landlord . </s> the landlord tried to evict tiana after 6 months . </s> tiana was tired of being evicted tiana was brandon 's mom . </s> 
",5,3,5,5,3
AMT_SK1,"alissa 's cousin went to visit china ten years ago . </s> while he was there he met a woman and married her . </s> since then he feels very lonely in a different culture . </s> so he wrote alissa and asked her to visit him . </s> an alissa took her vacation time to travel to china during the summer . </s> 
","tom was at the carnival with his girlfriend . </s> she really did n't like rides . </s> tom convinced her to go on a big roller coaster ride . </s> he said it was closed because they yelled the entire time . </s> she decided not to ride it . </s> 
","tina was having a christmas party . </s> she was rather excited . </s> yet unfortunately there was a snowstorm . </s> the party was canceled . </s> tina 's party had to be reschedule . </s> 
","it is shaun 's fiftieth birthday in a few days . </s> shaun 's wife plans a surprise party for him for friday . </s> she told him he had to be home early to meet the cable guy . </s> shaun left work early and arrived home at four o'clock . </s> when he opened his door , his friends and family surprised him . </s> 
","the glitter packets mixed right into the paint . </s> i used two packets to make sure there was enough . </s> i painted the wall and was disappointed because i did n't see sparkle . </s> i waited until it dried , and used a damp rag to wipe it down . </s> the sparkles came out and shone brilliantly . </s> 
",4,3,4,5,5
AMT_L8W,"alissa 's cousin went to visit china ten years ago . </s> while he was there he met a woman and married her . </s> since then he feels very lonely in a different culture . </s> so he wrote alissa and asked her to visit him . </s> an alissa took her vacation time to travel to china during the summer . </s> 
","tom was at the carnival with his girlfriend . </s> she really did n't like rides . </s> tom convinced her to go on a big roller coaster ride . </s> he said it was closed because they yelled the entire time . </s> she decided not to ride it . </s> 
","tina was having a christmas party . </s> she was rather excited . </s> yet unfortunately there was a snowstorm . </s> the party was canceled . </s> tina 's party had to be reschedule . </s> 
","it is shaun 's fiftieth birthday in a few days . </s> shaun 's wife plans a surprise party for him for friday . </s> she told him he had to be home early to meet the cable guy . </s> shaun left work early and arrived home at four o'clock . </s> when he opened his door , his friends and family surprised him . </s> 
","the glitter packets mixed right into the paint . </s> i used two packets to make sure there was enough . </s> i painted the wall and was disappointed because i did n't see sparkle . </s> i waited until it dried , and used a damp rag to wipe it down . </s> the sparkles came out and shone brilliantly . </s> 
",5,2,5,5,5
AMT_Q42,"alissa 's cousin went to visit china ten years ago . </s> while he was there he met a woman and married her . </s> since then he feels very lonely in a different culture . </s> so he wrote alissa and asked her to visit him . </s> an alissa took her vacation time to travel to china during the summer . </s> 
","tom was at the carnival with his girlfriend . </s> she really did n't like rides . </s> tom convinced her to go on a big roller coaster ride . </s> he said it was closed because they yelled the entire time . </s> she decided not to ride it . </s> 
","tina was having a christmas party . </s> she was rather excited . </s> yet unfortunately there was a snowstorm . </s> the party was canceled . </s> tina 's party had to be reschedule . </s> 
","it is shaun 's fiftieth birthday in a few days . </s> shaun 's wife plans a surprise party for him for friday . </s> she told him he had to be home early to meet the cable guy . </s> shaun left work early and arrived home at four o'clock . </s> when he opened his door , his friends and family surprised him . </s> 
","the glitter packets mixed right into the paint . </s> i used two packets to make sure there was enough . </s> i painted the wall and was disappointed because i did n't see sparkle . </s> i waited until it dried , and used a damp rag to wipe it down . </s> the sparkles came out and shone brilliantly . </s> 
",4,2,5,5,5
AMT_GVO,"alissa 's cousin went to visit china ten years ago . </s> while he was there he met a woman and married her . </s> since then he feels very lonely in a different culture . </s> so he wrote alissa and asked her to visit him . </s> an alissa took her vacation time to travel to china during the summer . </s> 
","tom was at the carnival with his girlfriend . </s> she really did n't like rides . </s> tom convinced her to go on a big roller coaster ride . </s> he said it was closed because they yelled the entire time . </s> she decided not to ride it . </s> 
","tina was having a christmas party . </s> she was rather excited . </s> yet unfortunately there was a snowstorm . </s> the party was canceled . </s> tina 's party had to be reschedule . </s> 
","it is shaun 's fiftieth birthday in a few days . </s> shaun 's wife plans a surprise party for him for friday . </s> she told him he had to be home early to meet the cable guy . </s> shaun left work early and arrived home at four o'clock . </s> when he opened his door , his friends and family surprised him . </s> 
","the glitter packets mixed right into the paint . </s> i used two packets to make sure there was enough . </s> i painted the wall and was disappointed because i did n't see sparkle . </s> i waited until it dried , and used a damp rag to wipe it down . </s> the sparkles came out and shone brilliantly . </s> 
",4,2,5,5,5
AMT_K0N,"alissa 's cousin went to visit china ten years ago . </s> while he was there he met a woman and married her . </s> since then he feels very lonely in a different culture . </s> so he wrote alissa and asked her to visit him . </s> an alissa took her vacation time to travel to china during the summer . </s> 
","tom was at the carnival with his girlfriend . </s> she really did n't like rides . </s> tom convinced her to go on a big roller coaster ride . </s> he said it was closed because they yelled the entire time . </s> she decided not to ride it . </s> 
","tina was having a christmas party . </s> she was rather excited . </s> yet unfortunately there was a snowstorm . </s> the party was canceled . </s> tina 's party had to be reschedule . </s> 
","it is shaun 's fiftieth birthday in a few days . </s> shaun 's wife plans a surprise party for him for friday . </s> she told him he had to be home early to meet the cable guy . </s> shaun left work early and arrived home at four o'clock . </s> when he opened his door , his friends and family surprised him . </s> 
","the glitter packets mixed right into the paint . </s> i used two packets to make sure there was enough . </s> i painted the wall and was disappointed because i did n't see sparkle . </s> i waited until it dried , and used a damp rag to wipe it down . </s> the sparkles came out and shone brilliantly . </s> 
",5,2,5,5,5
AMT_RGT,"emily had a long list of chores to accomplish for the day . </s> she finished all of her tasks except for the laundry . </s> she was about to get started when she got called into work . </s> when emily came home , she found that her husband had done the laundry . </s> she was thrilled to not have to dive into the task that evening . </s> 
","the man next door seemed to be losing his mind . </s> he sat on the porch yelling at nobody . </s> everyone walked by . </s> he then kidnapped two aliens . </s> they listened attentively and decided not to fight him . </s> 
","the lights went out in tim 's house . </s> it would be hours before it was fixed . </s> tim was trying to use a flashlight with no batteries . </s> he took out the remote to turn them back on . </s> the lights worked just fine after tim returned . </s> 
","jesse had a large family . </s> his air conditioning broke . </s> the family had to move into an area where there was no heat all summer . </s> they had to use window units to cool off the windows . </s> the family cools off on the same unit every day . </s> 
","electric city record company hired charles as an intern . </s> three days a week charles would promote artists to the media by phone . </s> one day charles was hungry and called in sick to his internship . </s> his boss complained and told him he needed to make a good impression . </s> charles lashed out , all that money and you ca n't pay me nothing ? </s> 
",5,2,3,2,5
AMT_A32,"emily had a long list of chores to accomplish for the day . </s> she finished all of her tasks except for the laundry . </s> she was about to get started when she got called into work . </s> when emily came home , she found that her husband had done the laundry . </s> she was thrilled to not have to dive into the task that evening . </s> 
","the man next door seemed to be losing his mind . </s> he sat on the porch yelling at nobody . </s> everyone walked by . </s> he then kidnapped two aliens . </s> they listened attentively and decided not to fight him . </s> 
","the lights went out in tim 's house . </s> it would be hours before it was fixed . </s> tim was trying to use a flashlight with no batteries . </s> he took out the remote to turn them back on . </s> the lights worked just fine after tim returned . </s> 
","jesse had a large family . </s> his air conditioning broke . </s> the family had to move into an area where there was no heat all summer . </s> they had to use window units to cool off the windows . </s> the family cools off on the same unit every day . </s> 
","electric city record company hired charles as an intern . </s> three days a week charles would promote artists to the media by phone . </s> one day charles was hungry and called in sick to his internship . </s> his boss complained and told him he needed to make a good impression . </s> charles lashed out , all that money and you ca n't pay me nothing ? </s> 
",5,1,3,2,5
AMT_K0N,"emily had a long list of chores to accomplish for the day . </s> she finished all of her tasks except for the laundry . </s> she was about to get started when she got called into work . </s> when emily came home , she found that her husband had done the laundry . </s> she was thrilled to not have to dive into the task that evening . </s> 
","the man next door seemed to be losing his mind . </s> he sat on the porch yelling at nobody . </s> everyone walked by . </s> he then kidnapped two aliens . </s> they listened attentively and decided not to fight him . </s> 
","the lights went out in tim 's house . </s> it would be hours before it was fixed . </s> tim was trying to use a flashlight with no batteries . </s> he took out the remote to turn them back on . </s> the lights worked just fine after tim returned . </s> 
","jesse had a large family . </s> his air conditioning broke . </s> the family had to move into an area where there was no heat all summer . </s> they had to use window units to cool off the windows . </s> the family cools off on the same unit every day . </s> 
","electric city record company hired charles as an intern . </s> three days a week charles would promote artists to the media by phone . </s> one day charles was hungry and called in sick to his internship . </s> his boss complained and told him he needed to make a good impression . </s> charles lashed out , all that money and you ca n't pay me nothing ? </s> 
",5,3,3,1,1
